product_name,country,category,subcategory,price,brand,form,type,size,rating,noofratings
"Fogg Paradise, No Gas Perfume Body Spray for Women, Long Lasting Everyday Deodorant, 65",India,body,perfume,101,FOGG,aerosol,,65,4.3,180
KamaSutra KS Woman Desire Perfume Spray 150 ,India,body,perfume,114,KS WOMAN,aerosol,,150,4.2,163
La French Niche Edition Luxury Perfume Gift Set 4x20  | Extra Long Lasting Fragrance | Eau De Parfum Scent | Euphoria | Mood Swing | Happiness | Invoke | Unisex Gift Set (Luxury Perfume Gift Set),India,body,perfume,475,LA' French,aerosol,,80,4.2,358
La French Euphoria Perfume for Men and Women | Eau De Parfum | Premium Long Lasting Classy Fragrance Scent | Mood Enhancing | Ideal Gift Set (Euphoria Perfume 100 Pack of 1),India,body,perfume,540,LA' French,aerosol,,100,4.2,524
"Park Avenue Neo Perfume For Men Fresh Long Lasting Fragrance Super Saver Mega Pack 220 , Multicolor",India,body,perfume,212,Park Avenue,aerosol,,220,4.1,41
Deadsea Mud Purifying Mud Soap,USA,body,bodywash,980.4,Ahava,cream,all,102,4.7,28
Natural Dead Sea Bath Salts,USA,body,bodywash,980.4,Ahava,cream,all,255,4,1
Superfood Shower Gel Kale & Turmeric,USA,body,bodywash,1960.8,Ahava,cream,all,0,,
Sea-Kissed Mineral Shower Gel,USA,body,bodywash,1960.8,Ahava,cream,all,204,4.7,13
Mineral Botanic Velvet Cream Wash,USA,body,bodywash,1960.8,Ahava,cream,all,510,4.7,301
Eucalyptus Bath Salt,USA,body,bodywash,2124.2,Ahava,cream,all,960,4.5,39
Deadsea Water Mineral Shower Gel,USA,body,bodywash,3676.5,Ahava,cream,all,510,4.4,21
Moisturizing Body Wash,USA,body,bodywash,1061.28,Alpha Skin Care,cream,all,360,4.5,23
24-Hour Deodorant Body Wash,USA,body,bodywash,1184.65,American Crew,cream,all,456,4.7,24
